Stid,Longitude,Latitude,Precipitation6h
54094,129.60,44.57,0
50862,128.01,46.98,0
50955,126.30,45.38,0
50758,125.90,47.16,0
50442,124.11,50.40,0
54096,131.15,44.38,0.300000011920929
50658,125.88,48.05,0
50950,125.25,45.70,0
50756,126.97,47.43,0.00999999977648258
50136,122.52,52.97,0
50968,127.97,45.22,0.00999999977648258
50353,126.65,51.72,0
50853,126.96,46.61,0
50854,125.32,46.38,0
50349,124.33,51.70,0
50978,130.95,45.28,0
57673,112.88,28.68,0
57612,106.65,29.01,0
57333,108.66,31.95,0.00999999977648258
57502,105.70,29.70,0
57348,109.50,31.05,7
57512,106.28,29.96,0
57426,107.80,30.68,10
50527,119.75,49.22,0
52267,101.07,41.95,0
53068,112.00,43.65,0
53195,113.71,43.83,0
53343,109.96,41.76,0
53352,110.43,41.70,0
53391,114.00,41.90,0
53419,107.00,40.33,0
53433,108.65,40.73,0
53467,111.18,40.26,0
53472,112.56,40.86,0
53513,107.40,40.77,0
54102,116.07,43.95,0.00999999977648258
54113,118.65,43.53,0
54225,119.91,42.28,0
54606,115.73,38.23,0
53599,114.66,39.35,0.5
54423,117.93,40.97,0
53687,113.63,37.78,0
51701,75.40,40.51,0.600000023841858
57707,105.23,27.30,0
57741,109.18,27.71,0.600000023841858
57806,105.91,26.25,0.100000001490116
57816,106.72,26.58,0
57827,107.51,26.26,2
57839,109.15,26.23,0.100000001490116
57906,106.08,25.18,1
57907,104.90,25.08,2
58040,119.13,34.83,0.400000005960464
58265,121.60,32.07,0
58259,120.85,32.01,0.100000001490116
58038,118.75,34.10,0.400000005960464
58158,120.48,33.20,2
58252,119.46,32.18,0
58847,119.28,26.08,0
58927,117.02,25.10,0
58737,118.31,27.05,0
58944,119.78,25.52,0
58918,116.41,25.05,0
58820,117.16,26.90,0
59113,116.81,24.73,0
58837,118.15,26.16,0
57731,108.25,27.95,3
54857,120.33,36.07,0.00999999977648258
54776,122.68,37.40,0
54823,116.98,36.68,0
54725,117.53,37.50,0
54821,117.11,36.98,0
54753,120.32,37.62,0
54842,119.95,36.76,0
54727,117.56,36.73,0
54843,119.08,36.70,0
54863,121.17,36.77,0
56125,96.48,32.20,0
57996,114.31,25.13,0
59298,114.41,23.08,0
59316,116.68,23.40,0
59097,114.20,24.05,0
59088,113.40,24.16,0
59116,116.68,24.35,0
59303,115.76,23.93,0
59082,113.58,24.80,0
59072,112.38,24.78,0.400000005960464
59087,113.53,23.87,0
59673,112.77,21.73,0
58715,116.65,27.58,0
57798,114.60,27.40,0.400000005960464
58622,117.58,28.95,0
58626,117.21,28.30,0
58906,115.80,25.60,0
57799,114.97,27.12,0
57894,114.16,26.58,0
58502,116.00,29.73,0.5
57789,113.93,27.13,0
58506,115.98,29.58,21
58806,115.83,26.36,0
58718,116.38,27.20,0
57896,114.50,26.33,0
58637,118.03,28.36,0
58705,115.41,27.33,0
58634,118.25,28.68,0
58507,115.10,29.28,0.00999999977648258
58529,117.98,29.35,6
58804,115.35,26.35,0
57598,114.58,29.03,0.00999999977648258
59102,115.65,24.95,0
57793,114.38,27.80,0
57696,114.78,28.41,35
58608,115.55,28.06,0
52633,98.41,38.81,0
58457,120.17,30.23,0.00999999977648258
58646,119.92,28.45,0
58467,121.21,30.26,0
58464,121.08,30.61,0
58553,120.88,30.03,0.5
58742,119.55,28.11,0.00999999977648258
50468,127.45,50.25,0.00999999977648258
50745,123.92,47.38,0.00999999977648258
50888,132.18,46.32,0.200000002980232
50564,127.35,49.43,0.00999999977648258
50779,134.28,48.36,4
50873,130.28,46.81,0.00999999977648258
50246,124.71,52.31,0
50557,125.23,49.17,2
50774,128.90,47.72,0
50674,129.43,48.56,1
50788,131.98,47.23,1
50739,123.18,47.33,0
50742,124.48,47.80,0.100000001490116
57972,113.03,25.80,0
57679,113.08,28.20,0
57649,109.73,28.31,2
57872,112.60,26.90,0
57857,111.51,26.36,3
57841,109.48,26.66,0
57965,111.60,25.53,0
56080,102.90,35.00,0
52984,103.18,35.58,0
52889,103.88,36.05,0
56096,104.92,33.40,0
52679,102.66,37.91,0
53923,107.63,35.73,0
52652,100.43,38.93,0
57014,105.88,34.55,0
52446,99.51,40.30,0
52418,94.68,40.15,0
52884,103.93,36.34,1
52546,99.83,39.36,0
53821,107.30,36.58,0
52996,105.00,35.38,0
52993,105.08,35.68,0
52797,104.05,37.18,0
53926,107.71,35.40,0
52895,104.68,36.56,0
57105,105.60,33.33,0
56092,104.65,35.00,3
56074,102.08,34.00,0
52656,100.81,38.45,0
52681,103.08,38.63,0
56093,104.01,34.43,0
52661,101.08,38.80,0
53908,105.40,35.11,0.00999999977648258
52787,102.87,37.20,0
57004,104.88,34.73,0
56192,104.75,32.93,0
52424,95.76,40.53,0
52674,101.96,38.23,0
52436,97.03,40.27,0
52983,104.15,35.86,0
58326,117.86,31.95,0
58236,118.30,32.30,0.699999988079071
58311,116.50,31.75,27
58429,117.78,30.96,0
58102,115.77,33.88,7
58118,116.53,33.28,30
58215,116.78,32.55,56
54662,121.63,38.90,0
54339,123.00,41.08,0.00999999977648258
54346,123.78,41.31,0
54351,124.05,41.90,0
54337,121.12,41.13,0
54471,122.20,40.67,0
54579,122.58,39.26,0
54243,124.11,42.78,0
54324,120.45,41.55,0
54470,122.06,40.98,0
54472,122.71,40.88,0
54365,125.35,41.26,0
54452,119.81,40.80,0
54660,121.23,38.81,0
54259,124.95,42.10,0
54342,123.43,41.77,0
54454,120.35,40.35,0
54563,121.75,39.73,0
54333,122.80,41.98,0
54486,123.28,40.28,0
54326,119.70,41.38,0
54334,121.23,41.51,0
54584,122.95,39.71,0
54236,122.53,42.42,0
54455,120.70,40.58,0
54497,124.33,40.05,0.00999999977648258
53980,114.80,36.55,0
53399,114.70,41.15,0
54405,115.50,40.40,0
57067,111.03,34.05,3
57071,112.43,34.83,0.00999999977648258
57083,113.65,34.72,0.300000011920929
57297,114.05,32.13,31
59644,109.10,21.48,0
59211,106.60,23.90,19
59023,108.05,24.70,0.00999999977648258
59065,111.53,24.41,10
59265,111.30,23.48,0
59453,110.16,22.65,0
59238,108.80,23.21,0
59037,108.10,23.93,3
59626,107.96,21.53,0
59012,106.56,24.78,17
59058,110.52,24.20,7
59209,105.95,23.30,13
59227,107.15,23.08,0
59034,108.83,24.50,0.00999999977648258
52818,94.90,36.42,0
55598,91.76,29.25,0.00999999977648258
56116,95.60,31.42,0
56223,95.83,30.75,0.00999999977648258
55655,85.96,28.18,0
55437,81.25,30.28,0
56137,97.17,31.15,0
55299,92.07,31.48,0.00999999977648258
56202,93.28,30.66,0
56018,95.30,32.90,0
57922,107.55,25.83,4
57710,106.41,27.81,0
56792,104.96,25.80,3
56793,104.61,25.78,1
57910,106.08,25.76,2
57916,106.77,25.43,0.100000001490116
57926,107.88,25.41,28
57932,108.53,25.97,7
59981,112.33,16.83,0
59941,109.51,18.76,0
59948,109.52,18.23,0
59954,110.03,18.50,0
59849,109.83,19.03,0
53446,109.85,40.66,0
56571,102.27,27.90,0.00999999977648258
56144,98.58,31.80,0
56188,103.66,30.98,0
57206,105.85,32.59,0
56671,102.25,26.65,1
56459,101.26,27.93,0.200000002980232
56565,101.51,27.43,2
57604,105.37,28.78,0
56492,104.60,28.80,0
56247,99.10,30.00,0
57313,106.76,31.85,0
57328,107.50,31.20,0
56374,101.97,30.05,0
56172,102.23,31.90,0.00999999977648258
56152,100.33,32.28,0
56182,103.57,32.65,0.200000002980232
57237,108.03,32.07,0.00999999977648258
56386,103.75,29.56,0
56666,101.71,26.58,28
56173,102.55,32.80,0
56462,101.50,29.00,0.00999999977648258
57306,105.97,31.58,0
57405,105.58,30.50,0
56038,98.10,32.98,0
