Site_Name,Longitude,Latitude,Elevation
Cuiaba,-56,-15.5,250
Alta_Floresta,-56.1,-9.87,277
Jamari,-62.75,-8.63,100
Tucson,-110.95,32.23,779
GSFC,-76.84,38.99,87
Kolfield,-74.48,39.8,50
Porto_Nacional,-48,-11,210
Brasilia,-47.9,-15.92,1100
Harvard_Forest,-72.19,42.53,322
Wallops,-75.47,37.94,10
Hampton_Roads,-76.45,36.78,10
Hagerstown,-77.72,39.71,200
Hog_Island,-75.7,37.42,50
Tukurui,-49.68,-3.72,100
Arizona,-110.79,32.44,2791
Santarem,-54.75,-2.43,70
Ussuriysk,132.16,43.7,280
Waskesiu,-106.08,53.92,550
Ariquiums,-63.03,-9.92,80
Colorado,-105.55,40.45,2500
JamTown,-63.1,-9.2,50
Key_Biscayne,-80.16,25.73,0
Sevilleta,-106.89,34.35,1477
Jornada,-106.52,32.35,1288
CART_SITE,-97.49,36.61,318
Cart_Site,-97.49,36.61,318
NSA_YJP_BOREAS,-98.29,55.9,290
FLIN_FLON,-101.69,54.67,305
SSA_YJP_BOREAS,-104.65,53.67,490
PRINCE_ALBERT,-105.7,53.2,425
Bonanza_Creek,-148.32,64.74,150
Mauna_Loa,-155.58,19.54,3397
Thompson,-97.85,55.8,218
HJAndrews,-122.22,44.24,830
La_Crau,4.82,43.58,32
Ukiah,-118.92,45.13,1100
Wisconsin,-89.65,46.05,463
Ji_Parana,-61.8,-10.86,100
Spokane,-117.53,47.62,360
LAMTO,-5.03,6.21,0
Bondoukoui,-3.75,11.85,0
Bidi_Bahn,-2.45,14.06,0
Lille,3.14,50.61,60
Park_Brasilia,-47.92,-15.74,1100
Albany_Oregon,-123.07,44.58,67
Biggs,-121.73,39.45,50
Chapada,-55.83,-15.36,212
Jaru,-62.55,-10.39,170
JARU_TOWN,-62.47,-10.44,170
Agri_School,-56.18,-10.08,250
Teles_Peres,-56.02,-9.67,250
Red_Bluff,-122.25,40.15,40
Pullman,-117.19,46.75,0
Bordman,-119.67,45.82,200
White_Sands,-106.35,32.92,1197
GORDO_rest,-55.99,-15.4,411
Missoula,-114.08,46.92,1028
Owens_Lake,-117.87,36.49,1167
Capo_Verde,-22.94,16.73,60
Ouagadougou,-1.4,12.2,290
UCSB,-119.85,34.42,33
Jug_Bay,-76.78,38.77,10
SERC,-76.5,38.88,10
Burtonsville,-76.95,39.09,140
Gaithersburg,-77.21,39.13,50
La_Jolla,-117.25,32.87,115
SS_OJP_BOREAS,-104.69,53.92,500
